AcresBurned,AdminUnit,ArchiveYear,Counties,Extinguished,Fatalities,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,WaterTenders,fire_duration,AdminUnitCleaned
75.0,CAL FIRE Madera-Mariposa-Merced Unit,2013,Madera,2013-06-14 16:30:00+00:00,,37.169379,-119.75636,True,Revis Fire,221.0,2013-06-12 16:40:00+00:00,13.0,1.9930555555555556,maderamariposamerced
75.0,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",2013,San Bernardino,2013-05-15 08:15:00+00:00,,34.1834,-117.4408,True,Lytle Fire,292.0,2013-05-13 13:30:00+00:00,13.0,1.78125,"sanbernardino,sanbernardino"
75.0,CAL FIRE Sonoma-Lake-Napa Unit,2013,Napa,2013-05-01 17:15:00+00:00,,38.441792,-122.350844,False,Silverado Fire,,2013-04-30 23:44:00+00:00,,0.7298611111111111,sonomalakenapa
73.0,CAL FIRE San Bernardino Unit,2013,San Bernardino,2013-09-12 08:45:00+00:00,,34.003151,-117.106075,False,Liveoak Fire,,2013-09-11 16:57:00+00:00,,0.6583333333333333,sanbernardino
73.0,CAL FIRE Nevada-Placer-Yuba Unit,2013,Yuba,2013-07-08 17:30:00+00:00,,39.206,-121.31634,False,McGanney Fire,,2013-07-08 09:59:00+00:00,,0.31319444444444444,nevadaplaceryuba
70.0,CAL FIRE Sonoma-Lake-Napa Unit,2013,Lake,2013-08-18 18:30:00+00:00,,39.013682,-122.491894,True,Double Fire,,2013-08-16 17:57:00+00:00,5.0,2.0229166666666667,sonomalakenapa
64.0,Ventura County Fire Department,2013,Ventura,2013-11-15 16:00:00+00:00,,34.384,-119.13249,False,Wheeler Fire,,2013-11-14 11:05:00+00:00,,1.2048611111111112,ventura
60.0,San Bernardino National Forest,2013,Riverside,2013-08-08 09:00:00+00:00,,38.838,-116.61,False,Tram Fire,,2013-08-06 13:39:00+00:00,,1.80625,sanbernardino
60.0,CAL FIRE/Riverside County  Fire,2013,Riverside,2013-08-04 18:00:00+00:00,,33.91027,-116.99895,False,Relay Fire,,2013-08-04 16:29:00+00:00,,0.06319444444444444,riverside
52.0,CAL FIRE Nevada-Yuba-Placer Unit,2013,Nevada,2013-08-31 21:30:00+00:00,,39.333401,-121.107022,False,Tyler Fire,,2013-08-31 14:42:00+00:00,,0.2833333333333333,nevadayubaplacer
51.0,CAL FIRE San Luis Obispo Unit,2013,San Luis Obispo,2013-11-09 17:00:00+00:00,,35.457978,-120.751555,True,Toro Fire,219.0,2013-11-08 10:30:00+00:00,,1.2708333333333333,sanluisobispo
50.0,CAL FIRE Sonoma-Lake-Napa Unit,2013,Lake,2013-11-24 08:45:00+00:00,,39.0448,-122.7656,False,Bruner Fire,,2013-11-23 12:04:00+00:00,,0.8618055555555556,sonomalakenapa
50.0,CAL FIRE Siskiyou Unit,2013,Siskiyou,2013-08-15 17:00:00+00:00,,41.923323,-122.578393,False,Cottonwood Fire,,2013-08-15 14:40:00+00:00,,0.09722222222222222,siskiyou
50.0,CAL FIRE Santa Clara Unit,2013,Santa Clara,2013-07-12 17:45:00+00:00,,37.1438,-121.7804,False,Uvas Fire,,2013-07-12 13:09:00+00:00,,0.19166666666666668,santaclara
50.0,CAL FIRE Santa Clara Unit,2013,Alameda,2013-07-04 11:30:00+00:00,,37.7393,-121.5869,False,Grant Fire,,2013-07-04 10:00:00+00:00,,0.0625,santaclara
50.0,CAL FIRE San Luis Obispo Unit,2013,San Luis Obispo,2013-05-25 18:45:00+00:00,,35.5123,-120.6368,False,Homestead Fire,,2013-05-25 17:35:00+00:00,,0.04861111111111111,sanluisobispo
46.0,CAL FIRE Tuolumne-Calaveras Unit,2013,Calaveras,2013-08-19 07:10:00+00:00,,38.06231,-120.45233,True,Bridges Fire,169.0,2013-08-17 10:11:00+00:00,18.0,1.8743055555555554,tuolumneaveras
46.0,CAL FIRE/Fresno County Fire,2013,Fresno,2013-06-19 08:45:00+00:00,,37.03087,-119.463757,False,Sierra Fire,,2013-06-17 14:41:00+00:00,,1.7527777777777778,fresno
45.0,CAL FIRE Mendocino Unit,2013,Mendocino,2013-07-23 16:00:00+00:00,,38.980846,-123.067671,False,Pratt Fire,,2013-07-23 13:29:00+00:00,,0.10486111111111111,mendocino
43.0,CAL FIRE Shasta-Trinity Unit,2013,Shasta,2013-07-09 15:00:00+00:00,,40.373,-122.7338,False,Fiddler Fire,,2013-07-09 11:59:00+00:00,,0.12569444444444444,shastatrinity
42.0,CAL FIRE/Riverside County Fire,2013,Riverside,2013-06-08 19:00:00+00:00,,33.96936,-117.1265,False,Viper Fire,,2013-06-08 15:37:00+00:00,,0.14097222222222222,riverside
41.0,CAL FIRE San Mateo-Santa Cruz Unit,2013,San Mateo,2013-09-07 20:00:00+00:00,,37.667295,-122.427285,False,Chestnut Fire,,2013-09-07 13:55:00+00:00,,0.2534722222222222,sanmateosantacruz
